"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1609","Successfull registration","tests.auth","Sat Oct 25 13:46:43 GMT 2025","passed","Sat Oct 25 13:46:45 GMT 2025","TestRegistration","test_registration","",""
"","1808","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 13:46:13 GMT 2025","passed","Sat Oct 25 13:46:15 GMT 2025","TestLogin","test_login","",""
"","5912","Create course","tests.courses","Sat Oct 25 13:46:25 GMT 2025","passed","Sat Oct 25 13:46:31 GMT 2025","TestCourses","test_courses","",""
"","1461","Empty course list displaying","tests.courses","Sat Oct 25 13:46:48 GMT 2025","passed","Sat Oct 25 13:46:49 GMT 2025","TestCourses","test_courses","",""
"","1590","Dashboard displaying","tests.dashboard","Sat Oct 25 13:46:33 GMT 2025","passed","Sat Oct 25 13:46:34 GMT 2025","TestDashboard","test_dashboard","",""
"","1995","User login with wrong email or password [  / password]","tests.auth","Sat Oct 25 13:46:36 GMT 2025","passed","Sat Oct 25 13:46:38 GMT 2025","TestLogin","test_login","",""
"","1655","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 13:46:38 GMT 2025","passed","Sat Oct 25 13:46:40 GMT 2025","TestLogin","test_login","",""
"","1837","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 13:46:16 GMT 2025","passed","Sat Oct 25 13:46:18 GMT 2025","TestLogin","test_login","",""
"","1373","Navigate from login page to registration page","tests.auth","Sat Oct 25 13:46:44 GMT 2025","passed","Sat Oct 25 13:46:45 GMT 2025","TestLogin","test_login","",""
"","1677","Dashboard displaying","tests.dashboard","Sat Oct 25 13:46:50 GMT 2025","passed","Sat Oct 25 13:46:52 GMT 2025","TestDashboard","test_dashboard","",""
"","2373","Empty course list displaying","tests.courses","Sat Oct 25 13:46:21 GMT 2025","passed","Sat Oct 25 13:46:24 GMT 2025","TestCourses","test_courses","",""
"","3116","Create course","tests.courses","Sat Oct 25 13:46:46 GMT 2025","passed","Sat Oct 25 13:46:49 GMT 2025","TestCourses","test_courses","",""
"","1404","User login with wrong email or password [user.name@gmail.com /  ]","tests.auth","Sat Oct 25 13:46:41 GMT 2025","passed","Sat Oct 25 13:46:42 GMT 2025","TestLogin","test_login","",""
"","1888","User login with wrong email or password [user.name@gmail.com / password]","tests.auth","Sat Oct 25 13:46:13 GMT 2025","passed","Sat Oct 25 13:46:15 GMT 2025","TestLogin","test_login","",""
"","1672","User login with valid credentials","tests.auth","Sat Oct 25 13:46:41 GMT 2025","passed","Sat Oct 25 13:46:43 GMT 2025","TestLogin","test_login","",""
"","3238","Successfull registration","tests.auth","Sat Oct 25 13:46:28 GMT 2025","passed","Sat Oct 25 13:46:31 GMT 2025","TestRegistration","test_registration","",""
"","1634","Navigate from login page to registration page","tests.auth","Sat Oct 25 13:46:25 GMT 2025","passed","Sat Oct 25 13:46:27 GMT 2025","TestLogin","test_login","",""
"","5162","User login with valid credentials","tests.auth","Sat Oct 25 13:46:19 GMT 2025","passed","Sat Oct 25 13:46:24 GMT 2025","TestLogin","test_login","",""
